QID|NUTSID|SJOID|LWVattenID|LW_UUID|nodeLabel|VYNAMN|LW_PopNamn
Q106708718|SE0A21440000001827|642904-128883|WA76492008|0170B54B-B575-47DF-9ED5-CF986823517D|badplats Hultasjön|Hultasjön|108000_Hultasjön_(12.24,57.94)
Q106708719|SE0A21440000001828|641768-127580|WA17140124|06864A35-DBBC-4BB3-A90D-FC6EB8117D55|badplats Surtesjön|Surtesjön|108000_Surtesjön_(12.04,57.82)
Q106708716|SE0A21440000001824|644046-129143|WA48580416|E86E4F9A-55D6-496E-BA32-8F725083E3C3|badplats Hålsjön|Hålsjön|108000_Hålsjön_(12.26,58.03)
Q106708717|SE0A21440000001826|642465-127962|WA34469082|22939B0A-3BF4-4CAD-B379-CF40606ECAD8|badplats Vimmersjön|Vimmersjön|108000_Vimmesjön_(12.08,57.89)
Q106708626|SE0A21489000001692|641461-129543|WA80384021|CBBFAF42-949B-4F11-BDAC-908735C4C0B3|Ingareds badplats|Sävelången|108000_Sävelången_(12.43,57.84)
Q106708627|SE0A21489000001698|642138-130063|WA92968406|52265E97-3989-4F76-A058-8E471476086A|Bergsjödalsvikens badplats, Mjörn|Mjörn|108000_Mjörn_(12.41,57.9)
Q106708628|SE0A21489000001699|642138-130063|WA92968406|52265E97-3989-4F76-A058-8E471476086A|badplats Mjörn, Lövekulle|Mjörn|108000_Mjörn_(12.41,57.9)
Q106708634|SE0A21489000001707|642262-130589|WA87222446|9E2FAE5C-670E-4690-8700-1B064D78B895|badplats Stora Färgen, Lygnareds camping|Stora Färgen|108000_Stora Färgen_(12.55,57.87)
Q106708635|SE0A21489000001709|642673-130667|WA25472156|50C1727A-E33B-4ED2-A986-4E9AD0A89A9E|badplats Linnebäck|Gärdsken|108000_Gärdsken_(12.55,57.92)
Q106708632|SE0A21489000001700|642138-130063|WA92968406|52265E97-3989-4F76-A058-8E471476086A|Playa Mjörn|Mjörn|108000_Mjörn_(12.41,57.9)
Q106708633|SE0A21489000001706|643499-130158|WA67658345|4EA9DBF9-A7FF-4C92-8EC0-7FAA8A36C6C4|Antens badplats|Anten|108000_Anten_(12.51,58.06)
Q106711749|SE0A21489000003911|642673-130667|WA25472156|50C1727A-E33B-4ED2-A986-4E9AD0A89A9E|Kabelbadet|Gärdsken|108000_Gärdsken_(12.55,57.92)
Q106708538|SE0920764000001584|626889-143552|WA22747419|58D66751-E1A8-46C2-A18D-0031F128DB4A|badplats Ulvö|Åsnen-Horgefjorden|86000_Åsnen-Horgefjorden_(14.71,56.57)
Q106708536|SE0920764000001582|626855-141154|WA75572756|996734F6-84AA-47B4-A51C-EC30E095F141|Bohults badplats|Femlingen|88000_Femlingen_(14.42,56.56)
Q106708537|SE0920764000001583|627654-141929|WA52611017|490C0DB3-DC0B-4A3B-840E-3FBDECEA8FDD|badplats Övden|Övden|88000_Övden_(14.5,56.62)
Q106708546|SE0920764000001586|626889-143552|WA87448768|EDED29DB-3F4F-4645-806A-DAC0E23DC52A|badplats Torne|Åsnen-Skatelövsfjorden|86000_Åsnen-Skatelövsfjorden_(14.6,56.73)
Q106708547|SE0920764000001589|630806-142789|WA56944957|AEA0D4F2-0750-42D0-8907-D80D383A6D61|badplats Spånen|Spånen|86000_Spånen_(14.61,56.9)
Q106708545|SE0920764000001585|626889-143552|WA22747419|58D66751-E1A8-46C2-A18D-0031F128DB4A|badplats Hulevik|Åsnen-Horgefjorden|86000_Åsnen-Horgefjorden_(14.71,56.57)
Q106708551|SE0920764000001593|632231-141977|WA79153379|4007352F-CF9E-426B-82E6-BC341CF4E768|badplats Sörsjön|Sörsjön|86000_Sörsjön_(14.48,57.02)
Q106708548|SE0920764000001590|630989-141761|WA84280282|4165989F-D30D-4C0A-96B2-C54E171A7394|badplats Hjortsberga|Sjöatorpasjön|86000_Sjöatorpasjön_(14.44,56.91)
Q106708549|SE0920764000001592|632077-141409|WA45470557|10BAEBE6-859B-46EC-9FAD-ADDE2AD97DF6|Agnaryds badplats|Agrasjön|86000_Agrasjön_(14.39,57.01)
Q106708554|SE0920764000001596|631615-142651|WA22602588|1C1F1629-D34B-4B8F-B809-32C50CD7C31E|badplats Sjöanäs|Furen|86000_Furen_(14.61,56.97)
Q106708555|SE0920764000001598|631325-142519|WA44239952|7EAE8706-9DED-4947-B040-E06FF7B014D9|badplats Dansjön|Dansjön|86000_Dansjön_(14.58,56.95)
Q106708552|SE0920764000001594|632901-141943|WA64034753|34CC96E1-6B30-44F6-A5F1-E4CAB924CDE3|badplats Åboda|Åbodasjön|98000_Åbodasjön_(14.48,57.09)
Q106708553|SE0920764000001595|632688-142513|WA87375414|D987AD53-3C06-4BA4-8945-BB66E13A0013|badplats Lidnäs|Stråken|86000_Stråken_(14.59,57.08)
Q106712014|SE0920764000004377|626889-143552|WA87448768|EDED29DB-3F4F-4645-806A-DAC0E23DC52A|badplats Sjöby badplats|Åsnen-Skatelövsfjorden|86000_Åsnen-Skatelövsfjorden_(14.6,56.73)
Q106708054|SE0910604000000972|640923-145019|WA75950077|22381224-B9EF-4609-AB07-ACEFA46A7FA3|badplats Assjön|Assjön|67000_Assjön_(14.95,57.8)
Q106708055|SE0910604000000974|642387-143714|WA47495201|4A4B42D3-DE3A-4E90-8952-C7C654E2395E|badplats Noen|Noen|67000_Noen_(14.72,58)
Q106708053|SE0910604000000971|641149-144106|WA15523215|10299CCA-E25C-4694-B7F8-ACD619D6837C|Anebysjöns badplats|Anebysjön|67000_Anebysjön_(14.81,57.8)
Q106708058|SE0910604000000979|642104-143116|WA92787042|6F23AA4C-ED4F-489C-847B-17AE3A1316D1|badplats Viredaholmssjön|Viredaholmssjön|67000_Viredaholmssjön_(14.65,57.91)
Q106708056|SE0910604000000977|641239-143921|WA83364348|AE212663-3B3B-4626-BFEB-8D1616AE908F|badplats Skärsjösjön|Skärsjösjön|67000_Skärsjösjön_(14.78,57.83)
Q106708057|SE0910604000000978|642353-144640|WA97948195|EC177936-7396-4C70-93B1-1A44964E264F|badplats Söljen|Söljen|67000_Söljen_(14.9,57.92)
Q106709191|SE0251984000002584|658387-150793|WA42958651|FB5570A4-AB40-4AB5-96A2-758CA3558C52|badplats Kvarnsjön|Kvarnsjön|61000_Kvarnsjön_(15.95,59.37)
