,wikidata,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
243,Q106707540,SE0A11384000000459,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11384000000459,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11384000000459'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707540'>link WD</a>
244,Q106707599,SE0A11384000000461,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11384000000461,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11384000000461'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707599'>link WD</a>
245,Q106707602,SE0930885000000470,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000470,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000470'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707602'>link WD</a>
248,Q106707603,SE0930885000000471,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000471,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000471'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707603'>link WD</a>
249,Q106707606,SE0930885000000475,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000475,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000475'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707606'>link WD</a>
250,Q106707607,SE0930885000000478,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000478,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000478'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707607'>link WD</a>
251,Q106707605,SE0930885000000474,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000474,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000474'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707605'>link WD</a>
252,Q106707610,SE0441284000000484,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000484,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000484'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707610'>link WD</a>
253,Q106707609,SE0930885000000479,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000479,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930885000000479'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707609'>link WD</a>
254,Q106707614,SE0441284000000491,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000491,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000491'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707614'>link WD</a>
255,Q106707611,SE0441284000000485,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000485,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000485'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707611'>link WD</a>
256,Q106707613,SE0441284000000489,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000489,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000489'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707613'>link WD</a>
257,Q106707615,SE0441284000000492,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000492,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000492'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707615'>link WD</a>
258,Q106707618,SE0441284000000500,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000500,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000500'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707618'>link WD</a>
259,Q106707616,SE0441284000000493,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000493,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000493'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707616'>link WD</a>
260,Q106707612,SE0441284000000487,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000487,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000487'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707612'>link WD</a>
261,Q106707617,SE0441284000000494,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000494,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000494'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707617'>link WD</a>
262,Q106707619,SE0441284000000501,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000501,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441284000000501'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707619'>link WD</a>
263,Q106707620,SE0A21480000000505,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000505,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000505'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707620'>link WD</a>
264,Q106707623,SE0A21480000000508,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000508,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000508'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707623'>link WD</a>
265,Q106707621,SE0A21480000000506,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000506,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000506'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707621'>link WD</a>
266,Q106707622,SE0A21480000000507,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000507,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000507'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707622'>link WD</a>
267,Q106707624,SE0A21480000000510,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000510,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000510'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707624'>link WD</a>
270,Q106707628,SE0A21480000000518,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000518,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000518'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707628'>link WD</a>
274,Q106707633,SE0A21480000000524,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000524,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000524'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707633'>link WD</a>
275,Q106707629,SE0A21480000000519,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000519,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000519'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707629'>link WD</a>
276,Q106707636,SE0A21480000000531,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000531,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000531'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707636'>link WD</a>
277,Q106707637,SE0A21480000000532,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000532,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000532'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707637'>link WD</a>
278,Q106707635,SE0A21480000000530,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000530,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000530'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707635'>link WD</a>
279,Q106707640,SE0A21480000000534,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000534,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000534'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707640'>link WD</a>
280,Q106707643,SE0A11382000000545,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000545,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000545'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707643'>link WD</a>
281,Q106707641,SE0A11382000000541,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000541,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000541'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707641'>link WD</a>
282,Q106707638,SE0A21480000000533,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000533,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000533'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707638'>link WD</a>
283,Q106707644,SE0A11382000000546,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000546,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000546'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707644'>link WD</a>
284,Q106707645,SE0A11382000000549,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000549,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000549'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707645'>link WD</a>
286,Q106707642,SE0A11382000000543,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000543,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A11382000000543'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707642'>link WD</a>
294,Q106707695,SE0A21484000000560,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21484000000560,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21484000000560'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707695'>link WD</a>
295,Q106707698,SE0A21484000000564,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21484000000564,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21484000000564'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707698'>link WD</a>
299,Q32240630,SE0441287000000443,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441287000000443,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441287000000443'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q32240630'>link WD</a>
306,Q106708703,SE0A21490000001810,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21490000001810,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21490000001810'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708703'>link WD</a>
313,Q106708719,SE0A21440000001828,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21440000001828,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21440000001828'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708719'>link WD</a>
315,Q106708717,SE0A21440000001826,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21440000001826,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21440000001826'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708717'>link WD</a>
317,Q106708720,SE0110180000001838,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001838,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001838'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708720'>link WD</a>
318,Q106708722,SE0110180000001841,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001841,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001841'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708722'>link WD</a>
319,Q106708721,SE0110180000001839,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001839,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001839'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708721'>link WD</a>
320,Q106708723,SE0110180000001842,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001842,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001842'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708723'>link WD</a>
321,Q106708724,SE0110180000001845,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001845,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001845'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708724'>link WD</a>
322,Q106708725,SE0110180000001849,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001849,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001849'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708725'>link WD</a>
323,Q106708726,SE0110180000001851,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001851,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001851'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708726'>link WD</a>
324,Q106708727,SE0230583000001852,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001852,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001852'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708727'>link WD</a>
325,Q106708728,SE0230583000001855,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001855,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001855'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708728'>link WD</a>
327,Q106708743,SE0230583000001859,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001859,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001859'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708743'>link WD</a>
328,Q106708747,SE0110180000001867,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001867,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001867'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708747'>link WD</a>
329,Q106708742,SE0230583000001858,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001858,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001858'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708742'>link WD</a>
330,Q106708746,SE0230583000001862,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001862,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001862'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708746'>link WD</a>
332,Q106708748,SE0110180000001868,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001868,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110180000001868'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708748'>link WD</a>
333,Q106708745,SE0230583000001861,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001861,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0230583000001861'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708745'>link WD</a>
342,Q106708763,SE0A21487000001887,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21487000001887,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21487000001887'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708763'>link WD</a>
351,Q106708765,SE0A21487000001889,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21487000001889,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21487000001889'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708765'>link WD</a>
374,Q106708792,SE0930821000001935,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001935,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001935'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708792'>link WD</a>
377,Q106708801,SE0930821000001939,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001939,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930821000001939'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708801'>link WD</a>
379,Q106708807,SE0930882000001948,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001948,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001948'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708807'>link WD</a>
380,Q106708805,SE0930834000001945,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001945,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001945'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708805'>link WD</a>
381,Q106708810,SE0930882000001951,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001951,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001951'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708810'>link WD</a>
382,Q106708806,SE0930834000001947,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001947,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930834000001947'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708806'>link WD</a>
386,Q106708809,SE0930882000001950,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001950,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001950'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708809'>link WD</a>
389,Q106708812,SE0930882000001952,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001952,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001952'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708812'>link WD</a>
392,Q106708820,SE0930882000001964,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001964,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001964'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708820'>link WD</a>
393,Q106708817,SE0930882000001957,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001957,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001957'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708817'>link WD</a>
394,Q106708821,SE0930882000001965,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001965,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930882000001965'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708821'>link WD</a>
395,Q106708826,SE0910642000001971,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001971,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001971'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708826'>link WD</a>
397,Q106708827,SE0910642000001976,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001976,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001976'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708827'>link WD</a>
398,Q106708825,SE0910642000001970,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001970,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001970'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708825'>link WD</a>
399,Q106708828,SE0910642000001977,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001977,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910642000001977'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708828'>link WD</a>
402,Q106685181,SE0110136000002143,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110136000002143,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0110136000002143'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106685181'>link WD</a>
416,Q106708844,SE0910682000002006,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910682000002006,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0910682000002006'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106708844'>link WD</a>
